Partlist

Exported from LogicBoard_ESP_SAMD.sch at 3/12/18 10:39 AM

EAGLE Version 7.7.0 Copyright (c) 1988-2016 CadSoft

Assembly variant: 

Part     Value                        Device                       Package                      Library               Sheet

C1       10uF                         10UF-1206-6.3V-20%           1206                         SparkFun-Capacitors   1
C2       10uF                         10UF-1206-6.3V-20%           1206                         SparkFun-Capacitors   1
C3       1.0uF                        1.0UF-0603-16V-10%-X7R       0603                         SparkFun-Capacitors   1
C4       1.0uF                        1.0UF-0603-16V-10%-X7R       0603                         SparkFun-Capacitors   1
C5       0.1uF                        0.1UF-0603-25V-5%            0603                         SparkFun-Capacitors   1
C6       0.1uF                        0.1UF-0603-25V-5%            0603                         SparkFun-Capacitors   1
C7                                    CAP_POLPTH4                  CPOL-RADIAL-1000UF-25V       !!Pat_030112          1
C8       1uF                          0.1UF-0603-25V-5%            0603                         SparkFun-Capacitors   1
C9       0.1uF                        0.1UF-0603-25V-5%            0603                         SparkFun-Capacitors   1
D1       DIODE-SHOTKEY_SOD-123        DIODE-SHOTKEY_SOD-123        SOD-123_MINI-SMA             !!Pat_030112          1
ENCA     JUMPER-SMT_3_2-NC_TRACE_SILK JUMPER-SMT_3_2-NC_TRACE_SILK SMT-JUMPER_3_2-NC_TRACE_SILK SparkFun-Jumpers      1
ENCB     JUMPER-SMT_3_2-NC_TRACE_SILK JUMPER-SMT_3_2-NC_TRACE_SILK SMT-JUMPER_3_2-NC_TRACE_SILK SparkFun-Jumpers      1
J1       M2_TERMINAL_0200SPACING      M2_TERMINAL_0200SPACING      M2_0200                      !!Pat_030112          1
J2       M2_TERMINAL_0200SPACING      M2_TERMINAL_0200SPACING      M2_0200                      !!Pat_030112          1
J3                                    CONN_08X2_1.27MM             2X08_1.27MM                  !!Pat_030112          1
Q1       CPS18532_NFET.               CPS18532_NFET.               CSD18532_NFET_NEXTFET        !!Pat_030112          1
Q2       220mA/50V/3.5?               MOSFET-NCH-BSS138            SOT23-3                      SparkFun-DiscreteSemi 1
R2                                    RESISTOR0603                 0603                         SparkFun-Resistors    1
RN1                                   RESISTOR-DIL_8R-N742C163     RESISTOR-DIL_742C163         !!Pat_030112          1
U$2      SAMD_MINI_BOB_SPARKFUN1N     SAMD_MINI_BOB_SPARKFUN1N     SAMD_MINI_BOB_SF_NOLABEL     !!Pat_030112          1
U$3      ION_ROBOCLAW_MOTORDRVTOPVIEW ION_ROBOCLAW_MOTORDRVTOPVIEW ION_ROBOCLAW_MOTORCNTL       PW_CH_personal        1
U$4      ESP32_PICOKIT_V42N           ESP32_PICOKIT_V42N           ESP32_PICOKIT_2N             PW_CH_personal        1
X1       RJ452PW                      RJ452PW                      RJ45-SHIELD1                 PW_CH_personal        1
X2       RJ452PW                      RJ452PW                      RJ45-SHIELD1                 PW_CH_personal        1
